Date,Expense,Description,Category,Amount,Cr_Dr
06-04-2025,Amul Dairy,Daily milk,Groceries,70,Debit
06-04-2025,Starbucks,Morning coffee,Food,260,Debit
07-04-2025,Sabji Mandi,Weekly vegetables,Vegetable,90,Debit
07-04-2025,Rapido Bike,Quick ride,Taxi,35,Debit
08-04-2025,Mother Dairy,Fresh dairy,Groceries,80,Debit
08-04-2025,Burger King,Lunch meal,Food,200,Debit
09-04-2025,Big Bazaar,Weekly shopping,Groceries,360,Debit
09-04-2025,Street Food,Evening snacks,Food,55,Debit
10-04-2025,Salary,December 2024 salary,Salary,25000,Credit
10-04-2025,Vegetable Vendor,Daily vegetables,Vegetable,85,Debit
10-04-2025,Uber Auto,Market visit,Taxi,50,Debit
11-04-2025,Amul Store,Milk and cheese,Groceries,90,Debit
11-04-2025,KFC,Chicken meal,Food,290,Debit
12-04-2025,Shell Petrol,Fuel refill,Fuel,500,Debit
12-04-2025,Sabji Wala,Weekend vegetables,Vegetable,105,Debit
13-04-2025,Mother Dairy,Sunday dairy,Groceries,75,Debit
13-04-2025,Cafe Coffee Day,Sunday coffee,Food,190,Debit
14-04-2025,Vegetable Market,Fresh vegetables,Vegetable,95,Debit
14-04-2025,Ola Cab,Baisakhi celebration,Taxi,120,Debit
15-04-2025,Amul Parlour,Festival dairy,Groceries,85,Debit
15-04-2025,Lucky Punjabi Dhaba,Baisakhi special,Food,220,Debit
15-04-2025,House Rent,Monthly rent,Rent,12000,Debit
16-04-2025,Sabji Mandi,Post festival vegetables,Vegetable,90,Debit
16-04-2025,Dominos,Pizza treat,Food,350,Debit
17-04-2025,Mother Dairy,Daily milk,Groceries,70,Debit
17-04-2025,Rapido,Quick delivery,Taxi,40,Debit
18-04-2025,More Supermarket,Weekly shopping,Groceries,380,Debit
18-04-2025,Ram Idli Center,South Indian meal,Food,120,Debit
19-04-2025,HP Fuel,Petrol refill,Fuel,480,Debit
19-04-2025,Vegetable Vendor,Fresh produce,Vegetable,100,Debit
20-04-2025,Amul Store,Dairy products,Groceries,80,Debit
20-04-2025,Subway,Healthy lunch,Food,230,Debit
21-04-2025,Sabji Wala,Weekly vegetables,Vegetable,85,Debit
21-04-2025,Uber Cab,Weekend ride,Taxi,95,Debit
22-04-2025,Mother Dairy,Fresh milk,Groceries,75,Debit
22-04-2025,McDonald's,Quick bite,Food,160,Debit
23-04-2025,Vegetable Market,Seasonal vegetables,Vegetable,110,Debit
23-04-2025,Ola Auto,Short ride,Taxi,45,Debit
24-04-2025,Amul Dairy,Daily dairy,Groceries,85,Debit
24-04-2025,Starbucks,Coffee meeting,Food,280,Debit
25-04-2025,D-Mart,Bulk shopping,Groceries,390,Debit
25-04-2025,Street Food,Evening chaat,Food,70,Debit
26-04-2025,Shell Fuel,Bike refueling,Fuel,510,Debit
26-04-2025,Sabji Mandi,Weekend vegetables,Vegetable,95,Debit
27-04-2025,Mother Dairy,Weekend dairy,Groceries,80,Debit
27-04-2025,Pizza Hut,Sunday pizza,Food,310,Debit
28-04-2025,Vegetable Vendor,Fresh vegetables,Vegetable,90,Debit
28-04-2025,Rapido Bike,Quick ride,Taxi,35,Debit
29-04-2025,Amul Store,Milk products,Groceries,75,Debit
29-04-2025,Burger King,Lunch meal,Food,210,Debit
30-04-2025,Sabji Wala,Month end vegetables,Vegetable,105,Debit
30-04-2025,Uber Cab,Month end outing,Taxi,85,Debit
30-04-2025,Electricity Bill,Monthly electricity,Electricity,610,Debit
30-04-2025,Water Bill,Monthly water,Water,290,Debit
01-05-2025,Mother Dairy,May Day dairy,Groceries,80,Debit
01-05-2025,Lucky Punjabi Dhaba,Labor Day meal,Food,180,Debit
02-05-2025,Reliance Fresh,Monthly groceries,Groceries,440,Debit
02-05-2025,Vegetable Market,Fresh vegetables,Vegetable,115,Debit
03-05-2025,Amul Dairy,Daily milk,Groceries,75,Debit
03-05-2025,KFC,Chicken meal,Food,300,Debit
04-05-2025,Sabji Mandi,Summer vegetables,Vegetable,90,Debit
04-05-2025,Ola Cab,Weekend ride,Taxi,70,Debit
05-05-2025,Mother Dairy,Fresh dairy,Groceries,85,Debit
05-05-2025,Cafe Coffee Day,Summer coffee,Food,200,Debit
06-05-2025,HP Fuel,Petrol refill,Fuel,490,Debit
06-05-2025,Vegetable Vendor,Daily vegetables,Vegetable,95,Debit
07-05-2025,Amul Store,Milk and ice cream,Groceries,90,Debit
07-05-2025,Dominos,Pizza night,Food,360,Debit
08-05-2025,Sabji Wala,Mid week vegetables,Vegetable,85,Debit
08-05-2025,Rapido,Quick ride,Taxi,40,Debit
09-05-2025,Mother Dairy,Daily milk,Groceries,70,Debit
09-05-2025,McDonald's,Quick meal,Food,150,Debit
10-05-2025,Big Bazaar,Weekend shopping,Groceries,370,Debit
10-05-2025,Salary,December 2024 salary,Salary,25000,Credit
10-05-2025,Street Food,Evening snacks,Food,65,Debit
11-05-2025,Vegetable Market,Fresh produce,Vegetable,100,Debit
11-05-2025,Uber Auto,Market visit,Taxi,50,Debit
12-05-2025,Amul Parlour,Dairy and sweets,Groceries,95,Debit
12-05-2025,Starbucks,Premium coffee,Food,290,Debit
13-05-2025,Shell Petrol,Fuel refill,Fuel,500,Debit
13-05-2025,Sabji Mandi,Weekly vegetables,Vegetable,110,Debit
14-05-2025,Mother Dairy,Fresh milk,Groceries,75,Debit
14-05-2025,Ram Idli Center,South Indian food,Food,110,Debit
15-05-2025,Vegetable Vendor,Summer vegetables,Vegetable,90,Debit
15-05-2025,Ola Cab,Mid month ride,Taxi,80,Debit
15-05-2025,House Rent,Monthly rent,Rent,12000,Debit
16-05-2025,Amul Store,Daily dairy,Groceries,80,Debit
16-05-2025,Subway,Healthy meal,Food,240,Debit
17-05-2025,Sabji Wala,Weekend vegetables,Vegetable,105,Debit
17-05-2025,Rapido Bike,Short ride,Taxi,35,Debit
18-05-2025,Mother Dairy,Weekend dairy,Groceries,85,Debit
18-05-2025,Pizza Hut,Weekend treat,Food,320,Debit
19-05-2025,More Supermarket,Weekly shopping,Groceries,380,Debit
19-05-2025,Burger King,Quick meal,Food,180,Debit
20-05-2025,HP Fuel,Bike refueling,Fuel,480,Debit
20-05-2025,Vegetable Market,Fresh vegetables,Vegetable,95,Debit
21-05-2025,Amul Dairy,Daily milk,Groceries,70,Debit
21-05-2025,Lucky Punjabi Dhaba,North Indian meal,Food,190,Debit
22-05-2025,Sabji Mandi,Summer vegetables,Vegetable,100,Debit
22-05-2025,Uber Cab,Evening ride,Taxi,75,Debit
23-05-2025,Mother Dairy,Fresh dairy,Groceries,75,Debit
23-05-2025,KFC,Chicken meal,Food,280,Debit
24-05-2025,Vegetable Vendor,Daily vegetables,Vegetable,85,Debit
24-05-2025,Ola Auto,Quick ride,Taxi,45,Debit
25-05-2025,Amul Store,Milk products,Groceries,90,Debit
25-05-2025,Cafe Coffee Day,Weekend coffee,Food,190,Debit
26-05-2025,D-Mart,Bulk shopping,Groceries,390,Debit
26-05-2025,Street Food,Evening chaat,Food,70,Debit
27-05-2025,Shell Fuel,Petrol refill,Fuel,510,Debit
27-05-2025,Sabji Wala,Weekly vegetables,Vegetable,95,Debit
28-05-2025,Mother Dairy,Fresh milk,Groceries,80,Debit
28-05-2025,Dominos,Pizza night,Food,340,Debit
29-05-2025,Vegetable Market,Summer produce,Vegetable,110,Debit
29-05-2025,Rapido,Quick delivery,Taxi,40,Debit
30-05-2025,Amul Parlour,Dairy and ice cream,Groceries,95,Debit
30-05-2025,McDonald's,Quick bite,Food,170,Debit
31-05-2025,Sabji Mandi,Month end vegetables,Vegetable,90,Debit
31-05-2025,Uber Cab,Month end ride,Taxi,85,Debit
31-05-2025,Electricity Bill,Monthly electricity,Electricity,680,Debit
01-06-2025,Mother Dairy,June dairy,Groceries,80,Debit
01-06-2025,Starbucks,Summer coffee,Food,270,Debit
02-06-2025,Reliance Fresh,Monthly groceries,Groceries,450,Debit
02-06-2025,Vegetable Vendor,Fresh vegetables,Vegetable,105,Debit
03-06-2025,Amul Store,Daily milk,Groceries,75,Debit
03-06-2025,Subway,Healthy lunch,Food,250,Debit
04-06-2025,Sabji Wala,Summer vegetables,Vegetable,90,Debit
04-06-2025,Ola Cab,Office ride,Taxi,65,Debit
05-06-2025,Mother Dairy,Fresh dairy,Groceries,85,Debit
05-06-2025,Pizza Hut,Weekend pizza,Food,330,Debit
06-06-2025,HP Fuel,Petrol refill,Fuel,490,Debit
06-06-2025,Vegetable Market,Fresh produce,Vegetable,100,Debit
07-06-2025,Amul Dairy,Daily milk,Groceries,70,Debit
07-06-2025,Lucky Punjabi Dhaba,North Indian thali,Food,200,Debit
08-06-2025,Sabji Mandi,Weekly vegetables,Vegetable,95,Debit
08-06-2025,Rapido Bike,Quick ride,Taxi,35,Debit
09-06-2025,Mother Dairy,Fresh milk,Groceries,80,Debit
09-06-2025,Burger King,Lunch meal,Food,190,Debit
10-06-2025,Big Bazaar,Weekend shopping,Groceries,370,Debit
10-06-2025,Salary,December 2024 salary,Salary,25000,Credit
10-06-2025,Street Food,Evening snacks,Food,60,Debit
11-06-2025,Vegetable Vendor,Daily vegetables,Vegetable,85,Debit
11-06-2025,Uber Auto,Market visit,Taxi,50,Debit
12-06-2025,Amul Store,Milk and cheese,Groceries,90,Debit
12-06-2025,KFC,Chicken meal,Food,290,Debit
13-06-2025,Shell Petrol,Fuel refill,Fuel,500,Debit
13-06-2025,Sabji Wala,Weekend vegetables,Vegetable,110,Debit
14-06-2025,Mother Dairy,Weekend dairy,Groceries,75,Debit
14-06-2025,Cafe Coffee Day,Sunday coffee,Food,180,Debit
15-06-2025,Vegetable Market,Fresh vegetables,Vegetable,95,Debit
15-06-2025,Ola Cab,Mid month ride,Taxi,80,Debit
15-06-2025,House Rent,Monthly rent,Rent,12000,Debit
16-06-2025,Amul Parlour,Dairy and sweets,Groceries,85,Debit
16-06-2025,Ram Idli Center,South Indian meal,Food,120,Debit
17-06-2025,Sabji Mandi,Summer vegetables,Vegetable,100,Debit
17-06-2025,Rapido,Quick delivery,Taxi,40,Debit
18-06-2025,Mother Dairy,Daily milk,Groceries,70,Debit
18-06-2025,Dominos,Pizza treat,Food,350,Debit
19-06-2025,More Supermarket,Weekly shopping,Groceries,380,Debit
19-06-2025,McDonald's,Quick meal,Food,160,Debit
20-06-2025,HP Fuel,Bike refueling,Fuel,480,Debit
20-06-2025,Vegetable Vendor,Fresh produce,Vegetable,90,Debit
21-06-2025,Amul Store,Father's Day dairy,Groceries,95,Debit
21-06-2025,Starbucks,Father's Day coffee,Food,280,Debit
22-06-2025,Sabji Wala,Weekly vegetables,Vegetable,85,Debit
22-06-2025,Uber Cab,Weekend ride,Taxi,90,Debit
23-06-2025,Mother Dairy,Fresh dairy,Groceries,80,Debit
23-06-2025,Subway,Healthy meal,Food,240,Debit
24-06-2025,Vegetable Market,Summer vegetables,Vegetable,105,Debit
24-06-2025,Ola Auto,Quick ride,Taxi,45,Debit
25-06-2025,Amul Dairy,Daily milk,Groceries,75,Debit
25-06-2025,Lucky Punjabi Dhaba,Punjabi meal,Food,190,Debit
26-06-2025,D-Mart,Bulk shopping,Groceries,390,Debit
26-06-2025,Street Food,Evening chaat,Food,70,Debit
27-06-2025,Shell Fuel,Petrol refill,Fuel,510,Debit
27-06-2025,Sabji Mandi,Weekend vegetables,Vegetable,95,Debit
28-06-2025,Mother Dairy,Weekend dairy,Groceries,85,Debit
28-06-2025,Pizza Hut,Weekend pizza,Food,320,Debit
29-06-2025,Vegetable Vendor,Fresh vegetables,Vegetable,90,Debit
29-06-2025,Rapido Bike,Short ride,Taxi,35,Debit
30-06-2025,Amul Store,Month end dairy,Groceries,80,Debit
30-06-2025,Burger King,Month end meal,Food,200,Debit
30-06-2025,Electricity Bill,Monthly electricity,Electricity,720,Debit
30-06-2025,Water Bill,Monthly water,Water,310,Debit
